time;position;tas;heading_angle;climb_angle;
51.428571s;38°48'36.375210"N 9°4'33.174101"W 30000.00ft;700.0km/h;35.45°;0.00°;
102.857143s;38°52'59.607384"N 9°0'32.187470"W 30000.00ft;700.0km/h;35.49°;0.00°;
154.285714s;38°57'22.701473"N 8°56'30.704046"W 30000.00ft;700.0km/h;35.53°;0.00°;
205.714286s;39°1'45.656828"N 8°52'28.721759"W 30000.00ft;700.0km/h;35.57°;0.00°;
257.142857s;39°6'8.472795"N 8°48'26.238530"W 30000.00ft;700.0km/h;35.62°;0.00°;
308.571429s;39°10'31.148718"N 8°44'23.252275"W 30000.00ft;700.0km/h;35.66°;0.00°;
360.000000s;39°14'53.683936"N 8°40'19.760898"W 30000.00ft;700.0km/h;35.70°;0.00°;
411.428571s;39°19'16.077785"N 8°36'15.762297"W 30000.00ft;700.0km/h;35.74°;0.00°;
462.857143s;39°23'38.329598"N 8°32'11.254363"W 30000.00ft;700.0km/h;35.79°;0.00°;
514.285714s;39°28'0.438706"N 8°28'6.234975"W 30000.00ft;700.0km/h;35.83°;0.00°;
565.714286s;39°32'22.404433"N 8°24'0.702008"W 30000.00ft;700.0km/h;35.87°;0.00°;
617.142857s;39°36'44.226102"N 8°19'54.653326"W 30000.00ft;700.0km/h;35.92°;0.00°;
668.571429s;39°41'5.903034"N 8°15'48.086785"W 30000.00ft;700.0km/h;35.96°;0.00°;
720.000000s;39°45'27.434542"N 8°11'41.000234"W 30000.00ft;700.0km/h;36.01°;0.00°;
771.428571s;39°49'48.819939"N 8°7'33.391512"W 30000.00ft;700.0km/h;36.05°;0.00°;
822.857143s;39°54'10.058534"N 8°3'25.258450"W 30000.00ft;700.0km/h;36.09°;0.00°;
874.285714s;39°58'31.149632"N 7°59'16.598871"W 30000.00ft;700.0km/h;36.14°;0.00°;
925.714286s;40°2'52.092533"N 7°55'7.410590"W 30000.00ft;700.0km/h;36.18°;0.00°;
977.142857s;40°7'12.886535"N 7°50'57.691412"W 30000.00ft;700.0km/h;36.23°;0.00°;
1028.571429s;40°11'33.530933"N 7°46'47.439136"W 30000.00ft;700.0km/h;36.27°;0.00°;
1080.000000s;40°15'54.025016"N 7°42'36.651549"W 30000.00ft;700.0km/h;36.32°;0.00°;
1131.428571s;40°20'14.368071"N 7°38'25.326432"W 30000.00ft;700.0km/h;36.36°;0.00°;
1182.857143s;40°24'34.559382"N 7°34'13.461556"W 30000.00ft;700.0km/h;36.41°;0.00°;
