time;position_error
51.43s;0.0144nm;
102.86s;0.0277nm;
154.29s;0.0390nm;
205.71s;0.0475nm;
257.14s;0.0526nm;
308.57s;0.0539nm;
360.00s;0.0514nm;
411.43s;0.0451nm;
462.86s;0.0355nm;
514.29s;0.0234nm;
565.71s;0.0096nm;
617.14s;0.0048nm;
668.57s;0.0190nm;
720.00s;0.0317nm;
771.43s;0.0422nm;
822.86s;0.0497nm;
874.29s;0.0535nm;
925.71s;0.0535nm;
977.14s;0.0497nm;
1028.57s;0.0422nm;
1080.00s;0.0317nm;
1131.43s;0.0190nm;
1182.86s;0.0048nm;
1234.29s;0.0096nm;
1285.71s;0.0234nm;
1337.14s;0.0355nm;
1388.57s;0.0451nm;
1440.00s;0.0514nm;
1491.43s;0.0539nm;
1542.86s;0.0526nm;
1594.29s;0.0475nm;
1645.71s;0.0390nm;
1697.14s;0.0277nm;
1748.57s;0.0144nm;
1800.00s;0.0000nm;
1851.43s;0.0144nm;
1902.86s;0.0277nm;
1954.29s;0.0390nm;
2005.71s;0.0475nm;
2057.14s;0.0526nm;
2108.57s;0.0539nm;
2160.00s;0.0514nm;
2211.43s;0.0451nm;
2262.86s;0.0355nm;
2314.29s;0.0234nm;
2365.71s;0.0096nm;
2417.14s;0.0048nm;
2468.57s;0.0190nm;
2520.00s;0.0317nm;
2571.43s;0.0422nm;
2622.86s;0.0496nm;
2674.29s;0.0535nm;
2725.71s;0.0535nm;
2777.14s;0.0496nm;
2828.57s;0.0422nm;
2880.00s;0.0317nm;
2931.43s;0.0190nm;
2982.86s;0.0048nm;
3034.29s;0.0096nm;
3085.71s;0.0234nm;
3137.14s;0.0355nm;
3188.57s;0.0451nm;
3240.00s;0.0514nm;
3291.43s;0.0539nm;
3342.86s;0.0526nm;
3394.29s;0.0475nm;
3445.71s;0.0390nm;
3497.14s;0.0277nm;
3548.57s;0.0144nm;
3600.00s;0.0000nm;
3651.43s;0.0144nm;
3702.86s;0.0277nm;
3754.29s;0.0390nm;
3805.71s;0.0475nm;
3857.14s;0.0526nm;
3908.57s;0.0539nm;
3960.00s;0.0514nm;
4011.43s;0.0451nm;
4062.86s;0.0355nm;
4114.29s;0.0234nm;
4165.71s;0.0096nm;
4217.14s;0.0048nm;
4268.57s;0.0190nm;
4320.00s;0.0317nm;
4371.43s;0.0422nm;
4422.86s;0.0496nm;
4474.29s;0.0535nm;
4525.71s;0.0535nm;
4577.14s;0.0496nm;
4628.57s;0.0422nm;
4680.00s;0.0317nm;
4731.43s;0.0190nm;
4782.86s;0.0048nm;
4834.29s;0.0096nm;
4885.71s;0.0234nm;
4937.14s;0.0355nm;
4988.57s;0.0451nm;
5040.00s;0.0514nm;
5091.43s;0.0539nm;
5142.86s;0.0526nm;
5194.29s;0.0475nm;
5245.71s;0.0390nm;
5297.14s;0.0277nm;
5348.57s;0.0144nm;
5400.00s;0.0000nm;
5451.43s;0.0144nm;
5502.86s;0.0277nm;
5554.29s;0.0390nm;
5605.71s;0.0475nm;
5657.14s;0.0526nm;
5708.57s;0.0539nm;
5760.00s;0.0514nm;
5811.43s;0.0451nm;
5862.86s;0.0355nm;
5914.29s;0.0234nm;
5965.71s;0.0096nm;
6017.14s;0.0048nm;
6068.57s;0.0190nm;
6120.00s;0.0317nm;
6171.43s;0.0422nm;
6222.86s;0.0496nm;
6274.29s;0.0535nm;
6325.71s;0.0535nm;
6377.14s;0.0496nm;
6428.57s;0.0422nm;
6480.00s;0.0317nm;
6531.43s;0.0190nm;
6582.86s;0.0048nm;
6634.29s;0.0096nm;
6685.71s;0.0234nm;
6737.14s;0.0355nm;
6788.57s;0.0451nm;
6840.00s;0.0514nm;
6891.43s;0.0539nm;
6942.86s;0.0526nm;
6994.29s;0.0475nm;
7045.71s;0.0390nm;
7097.14s;0.0277nm;
7148.57s;0.0144nm;
7200.00s;0.0000nm;
7251.43s;0.0144nm;
7302.86s;0.0277nm;
7354.29s;0.0390nm;
7405.71s;0.0475nm;
7457.14s;0.0526nm;
7479.41s;0.0232nm;
7530.84s;0.0533nm;
7582.27s;0.0491nm;
7633.69s;0.0413nm;
7685.12s;0.0306nm;
7736.55s;0.0176nm;
7787.98s;0.0034nm;
7839.41s;0.0111nm;
7890.84s;0.0247nm;
7942.27s;0.0366nm;
7993.69s;0.0458nm;
8045.12s;0.0518nm;
8096.55s;0.0540nm;
8147.98s;0.0523nm;
8199.41s;0.0468nm;
8250.84s;0.0380nm;
8302.27s;0.0264nm;
8353.69s;0.0130nm;
8405.12s;0.0014nm;
8456.55s;0.0158nm;
8507.98s;0.0289nm;
8559.41s;0.0400nm;
8610.84s;0.0482nm;
8662.27s;0.0529nm;
8713.69s;0.0539nm;
