time;position;tas;heading_angle;climb_angle;
51.43s;38°48'36.359605"N 9°4'33.188358"W 30357.14ft;700.0km/h;35.45°;0.62°;
102.86s;38°52'59.573848"N 9°0'32.218188"W 30688.78ft;700.0km/h;35.49°;0.58°;
154.29s;38°57'22.647709"N 8°56'30.753420"W 30996.72ft;700.0km/h;35.53°;0.54°;
205.71s;39°1'45.580585"N 8°52'28.791958"W 31282.67ft;700.0km/h;35.57°;0.50°;
257.14s;39°6'8.371882"N 8°48'26.331686"W 31548.19ft;700.0km/h;35.62°;0.46°;
308.57s;39°10'31.021015"N 8°44'23.370468"W 31794.75ft;700.0km/h;35.66°;0.43°;
360.00s;39°14'53.527402"N 8°40'19.906155"W 32023.70ft;700.0km/h;35.70°;0.40°;
411.43s;39°19'15.890462"N 8°36'15.936582"W 32236.29ft;700.0km/h;35.74°;0.37°;
462.86s;39°23'38.109616"N 8°32'11.459574"W 32433.70ft;700.0km/h;35.79°;0.34°;
514.29s;39°28'0.184282"N 8°28'6.472942"W 32617.00ft;700.0km/h;35.83°;0.32°;
565.71s;39°32'22.113876"N 8°24'0.974490"W 32787.22ft;700.0km/h;35.87°;0.30°;
617.14s;39°36'43.897811"N 8°19'54.962014"W 32945.27ft;700.0km/h;35.92°;0.28°;
668.57s;39°41'5.535492"N 8°15'48.433299"W 33092.04ft;700.0km/h;35.96°;0.26°;
720.00s;39°45'27.026323"N 8°11'41.386126"W 33228.32ft;700.0km/h;36.01°;0.24°;
771.43s;39°49'48.369699"N 8°7'33.818267"W 33354.87ft;700.0km/h;36.05°;0.22°;
822.86s;39°54'9.565010"N 8°3'25.727487"W 33472.38ft;700.0km/h;36.09°;0.21°;
874.29s;39°58'30.611639"N 7°59'17.111547"W 33581.50ft;700.0km/h;36.14°;0.19°;
925.71s;40°2'51.508964"N 7°55'7.968199"W 33682.82ft;700.0km/h;36.18°;0.18°;
977.14s;40°7'12.256353"N 7°50'58.295191"W 33776.90ft;700.0km/h;36.23°;0.16°;
1028.57s;40°11'32.853169"N 7°46'48.090265"W 33864.27ft;700.0km/h;36.27°;0.15°;
1080.00s;40°15'53.298768"N 7°42'37.351156"W 33945.39ft;700.0km/h;36.32°;0.14°;
1131.43s;40°20'13.592500"N 7°38'26.075593"W 34020.72ft;700.0km/h;36.36°;0.13°;
1182.86s;40°24'33.733704"N 7°34'14.261299"W 34090.67ft;700.0km/h;36.41°;0.12°;
1234.29s;40°28'53.721718"N 7°30'1.905993"W 34155.62ft;700.0km/h;36.45°;0.11°;
1285.71s;40°33'13.555867"N 7°25'49.007384"W 34215.93ft;700.0km/h;36.50°;0.11°;
1337.14s;40°37'33.235475"N 7°21'35.563179"W 34271.94ft;700.0km/h;36.54°;0.10°;
1388.57s;40°41'52.759854"N 7°17'21.571076"W 34323.94ft;700.0km/h;36.59°;0.09°;
1440.00s;40°46'12.128313"N 7°13'7.028766"W 34372.23ft;700.0km/h;36.64°;0.08°;
1491.43s;40°50'31.340153"N 7°8'51.933936"W 34417.07ft;700.0km/h;36.68°;0.08°;
1542.86s;40°54'50.394669"N 7°4'36.284264"W 34458.71ft;700.0km/h;36.73°;0.07°;
1594.29s;40°59'9.291150"N 7°0'20.077422"W 34497.37ft;700.0km/h;36.78°;0.07°;
1645.71s;41°3'28.028877"N 6°56'3.311075"W 34533.28ft;700.0km/h;36.82°;0.06°;
1697.14s;41°7'46.607128"N 6°51'45.982882"W 34566.61ft;700.0km/h;36.87°;0.06°;
1748.57s;41°12'5.025173"N 6°47'28.090493"W 34597.57ft;700.0km/h;36.92°;0.05°;
1800.00s;41°16'23.282274"N 6°43'9.631551"W 34626.31ft;700.0km/h;36.96°;0.05°;
1851.43s;41°20'41.377692"N 6°38'50.603693"W 34653.01ft;700.0km/h;37.01°;0.05°;
1902.86s;41°24'59.310679"N 6°34'31.004547"W 34677.79ft;700.0km/h;37.06°;0.04°;
1954.29s;41°29'17.080480"N 6°30'10.831734"W 34700.81ft;700.0km/h;37.11°;0.04°;
2005.71s;41°33'34.686339"N 6°25'50.082868"W 34722.18ft;700.0km/h;37.16°;0.04°;
2057.14s;41°37'52.127489"N 6°21'28.755553"W 34742.02ft;700.0km/h;37.20°;0.03°;
2108.57s;41°42'9.403162"N 6°17'6.847386"W 34760.45ft;700.0km/h;37.25°;0.03°;
2160.00s;41°46'26.512581"N 6°12'44.355958"W 34777.56ft;700.0km/h;37.30°;0.03°;
2211.43s;41°50'43.454967"N 6°8'21.278849"W 34793.45ft;700.0km/h;37.35°;0.03°;
2262.86s;41°55'0.229532"N 6°3'57.613632"W 34808.20ft;700.0km/h;37.40°;0.03°;
2314.29s;41°59'16.835486"N 5°59'33.357872"W 34821.90ft;700.0km/h;37.45°;0.02°;
2365.71s;42°3'33.272031"N 5°55'8.509125"W 34834.62ft;700.0km/h;37.50°;0.02°;
2417.14s;42°7'49.538366"N 5°50'43.064937"W 34846.44ft;700.0km/h;37.55°;0.02°;
2468.57s;42°12'5.633683"N 5°46'17.022849"W 34857.40ft;700.0km/h;37.60°;0.02°;
2520.00s;42°16'21.557169"N 5°41'50.380391"W 34867.59ft;700.0km/h;37.65°;0.02°;
2571.43s;42°20'37.308007"N 5°37'23.135084"W 34877.05ft;700.0km/h;37.70°;0.02°;
2622.86s;42°24'52.885374"N 5°32'55.284441"W 34885.83ft;700.0km/h;37.75°;0.02°;
2674.29s;42°29'8.288442"N 5°28'26.825966"W 34893.99ft;700.0km/h;37.80°;0.01°;
2725.71s;42°33'23.516377"N 5°23'57.757155"W 34901.56ft;700.0km/h;37.85°;0.01°;
