time;position;tas;heading_angle;climb_angle;
51.43s;38°48'37.060307"N 9°4'32.548194"W 30357.14ft;701.9km/h;35.45°;0.62°;
102.86s;38°53'0.924009"N 9°0'30.981489"W 30688.78ft;703.6km/h;35.49°;0.58°;
154.29s;38°57'24.549360"N 8°56'29.007066"W 30996.72ft;705.1km/h;35.53°;0.53°;
205.71s;39°1'47.896135"N 8°52'26.659985"W 31282.67ft;706.2km/h;35.57°;0.50°;
257.14s;39°6'10.934075"N 8°48'23.966484"W 31548.19ft;706.8km/h;35.62°;0.46°;
308.57s;39°10'33.645009"N 8°44'20.941895"W 31794.75ft;707.0km/h;35.66°;0.43°;
360.00s;39°14'56.024107"N 8°40'17.589345"W 32023.70ft;706.7km/h;35.70°;0.40°;
411.43s;39°19'18.080165"N 8°36'13.899324"W 32236.29ft;705.8km/h;35.74°;0.37°;
462.86s;39°23'39.834920"N 8°32'9.850162"W 32433.70ft;704.6km/h;35.79°;0.34°;
514.29s;39°28'1.321417"N 8°28'5.409393"W 32617.00ft;703.0km/h;35.83°;0.32°;
565.71s;39°32'22.581582"N 8°24'0.535894"W 32787.22ft;701.2km/h;35.87°;0.30°;
617.14s;39°36'43.663144"N 8°19'55.182658"W 32945.27ft;699.4km/h;35.92°;0.28°;
668.57s;39°41'4.616145"N 8°15'49.300010"W 33092.04ft;697.5km/h;35.96°;0.26°;
720.00s;39°45'25.489292"N 8°11'42.839019"W 33228.32ft;695.9km/h;36.01°;0.24°;
771.43s;39°49'46.326404"N 8°7'35.754873"W 33354.87ft;694.5km/h;36.05°;0.22°;
822.86s;39°54'7.163216"N 8°3'28.009976"W 33472.38ft;693.6km/h;36.09°;0.21°;
874.29s;39°58'28.024770"N 7°59'19.576526"W 33581.50ft;693.1km/h;36.14°;0.19°;
925.71s;40°2'48.923577"N 7°55'10.438407"W 33682.82ft;693.1km/h;36.18°;0.18°;
977.14s;40°7'9.858688"N 7°51'0.592234"W 33776.90ft;693.6km/h;36.23°;0.17°;
1028.57s;40°11'30.815726"N 7°46'50.047495"W 33864.27ft;694.5km/h;36.27°;0.15°;
1080.00s;40°15'51.767898"N 7°42'38.825755"W 33945.39ft;695.9km/h;36.32°;0.14°;
1131.43s;40°20'12.677888"N 7°38'26.958987"W 34020.72ft;697.5km/h;36.36°;0.13°;
1182.86s;40°24'33.500515"N 7°34'14.487146"W 34090.67ft;699.4km/h;36.41°;0.12°;
1234.29s;40°28'54.185946"N 7°30'1.455150"W 34155.62ft;701.2km/h;36.45°;0.11°;
1285.71s;40°33'14.683249"N 7°25'47.909501"W 34215.93ft;703.0km/h;36.50°;0.10°;
1337.14s;40°37'34.944012"N 7°21'33.894761"W 34271.94ft;704.6km/h;36.54°;0.10°;
1388.57s;40°41'54.925780"N 7°17'19.450165"W 34323.94ft;705.8km/h;36.59°;0.09°;
1440.00s;40°46'14.595059"N 7°13'4.606596"W 34372.23ft;706.7km/h;36.64°;0.08°;
1491.43s;40°50'33.929666"N 7°8'49.384154"W 34417.07ft;707.0km/h;36.68°;0.08°;
1542.86s;40°54'52.920268"N 7°4'33.790491"W 34458.71ft;706.8km/h;36.73°;0.07°;
1594.29s;40°59'11.570984"N 7°0'17.820033"W 34497.37ft;706.2km/h;36.78°;0.07°;
1645.71s;41°3'29.899023"N 6°56'1.454159"W 34533.28ft;705.1km/h;36.82°;0.06°;
1697.14s;41°7'47.933376"N 6°51'44.662321"W 34566.61ft;703.6km/h;36.87°;0.06°;
1748.57s;41°12'5.712660"N 6°47'27.404026"W 34597.57ft;701.9km/h;36.92°;0.05°;
1800.00s;41°16'23.282274"N 6°43'9.631551"W 34626.31ft;700.0km/h;36.96°;0.05°;
1851.43s;41°20'40.691063"N 6°38'51.293181"W 34653.01ft;698.1km/h;37.01°;0.05°;
